Full-Path,,
Academic Affairs,,
Academic Affairs,AAF: School of Architecture,AAF:ARCH:ARCH:Architecture M ARCH
Academic Affairs,AAF: School of Architecture,AAF:ARCH:ARCH:Architecture B ARCH
Academic Affairs,AAF: School of Architecture,AAF:ARCH:ARCH:Architecture MS
The College of Arts and Sciences,,
The College of Arts and Sciences,AS: AS General Dept.,AS:AS_GENERAL:Applied Statistics MS
The College of Arts and Sciences,AS: AS General Dept.,AS:AS_GENERAL:Biotechnology BS
College of Engineering and Computer Science,,
College of Engineering and Computer Science,ECS: Biomedical and Chemical Engineering,ECS:BIO_MED_CHEM:Bio-engineering BS
College of Engineering and Computer Science,ECS: Civil and Environmental Engineering,ECS:CIVIL:Civil Engineering BS
My comment Nayan,,
My comment 2 at line 13 by nayan,,
My comment 3 at line 14 by nayan usiong github desktop,,
